video name,comment,comment,comment,comment,comment,comment
9732,"phone's camera is good,display is average,storage capacity is very good,speed is good for me,battery life is extremely good and more than satisfied with the overall perfomance of the phone within the price range",,,,,
9734,"not satisfied with the phone's camera,not satisfied with the display, satisfied with storage capacity,speed is unsatisfactory,battery life is more than satisfying and satisfied with the overall perfomance of the phone within the price range",,,,,
9735,"phone's camera is very bad,display is broken so I hate it even more, I am having a lot of problems with storage capacity,speed was fast earlier and now it is slow ,battery life is good and I am not satisfied with the overall perfomance of the phone within the price range",,,,,
9736," phone's camera is good considering its storage,display is good, storage capacity is moderate ,speed is good,battery life is good and happy with the overall perfomance of the phone within the price range",,,,,
9741," phone's camera is good,display is not good, storage capacity has reduced,speed is slower now,battery life is the worst and satisfied with the overall perfomance of the phone within the price range",,,,,
9742,"satisfied with the phone's camera,display could be better but I am satisfied, storage capacity is good,speed is moderate,battery life is satisfactory and satisfied with the overall perfomance of the phone within the price range",,,,,
9744," phone's camera is good,display is not that bad, storage capacity average,speed is average,battery life is not good and I am till now satisfied with the overall perfomance of the phone within the price range",,,,,
9745,"phone's camera is not good,display is average,storage capacity is poor,speed is slow,battery life is the worst and satisfied with the overall perfomance of the phone within the price range",,,,,
9746,"phone's camera is extremely good,display is very good, storage capacity is huge,speed is very fast,battery life is very long-lasting and more than satisfied with the overall perfomance of the phone within the price range",,,,,
9747,"phone's camera is average,display is not good,storage capacity is enough,speed is enough,battery life is average and satisfied with the overall perfomance of the phone within the price range",,,,,
9748,"phone's camera is good,display is very good, storage capacity is average,speed is average,battery life has reduced and satisfied with the overall perfomance of the phone within the price range",,,,,
9749,"phone's camera is good,display is one of the best, more storage capacity is needed,speed is great,battery life is poor and satisfied with the overall perfomance of the phone within the price range",,,,,
9750,"phone's camera is good,display is  good, more storage capacity is needed as it is not enough for me,speed is good,battery life was better earlier and satisfied with the overall perfomance of the phone within the price range",,,,,
9752,"satisfied with the phone's camera,display is big, storage capacity is satisfying,speed is good,battery life is down and satisfied with the overall perfomance of the phone within the price range",,,,,
9754,"phone's camera quality has degraded,display is satisfying, storage capacity is very good for my use,speed is satisfying,battery life is great and more than satisfied with the overall perfomance of the phone within the price range",,,,,
9755,"phone's camera is good,display is average,storage capacity is very good,speed is great,battery life satisfying and more than satisfied with the overall perfomance of the phone within the price range as I have got it as a gift",,,,,
